Points For,Points Against,Strength of Schedule,Yards Per Play,Turnovers,Yards From Penalties,Offensive Rating,Defensive Rating,Location
8.625,-5.625,-0.39999999999999997,0.2999999999999998,0.1875,1.4375,8.2,5.7,-1.0
5.9375,-5.6875,0.0,-0.10000000000000053,0.4375,-1.625,5.6,6.2,1.0
10.1875,-7.4375,-0.49999999999999994,1.0,-0.5,2.1875,9.3,7.9,1.0
1.3125,-4.875,-1.2999999999999998,-0.40000000000000036,0.1875,-20.0625,0.5999999999999996,4.3,-1.0
10.4375,-5.125,-2.3,1.0999999999999996,0.0,-3.8125,9.1,4.199999999999999,1.0
7.875,-3.625,1.5999999999999999,0.5,0.375,-14.5,8.3,4.8999999999999995,-1.0
9.25,-10.0,-1.1,0.6999999999999993,-0.6875,-12.8125,8.3,9.899999999999999,-1.0
8.625,-5.625,-0.39999999999999997,0.2999999999999998,0.1875,1.4375,8.2,5.7,1.0
10.5,-4.1875,0.8,1.0999999999999996,-0.8125,1.75,10.6,5.0,1.0
1.375,-2.0625,-1.4,-0.20000000000000018,0.3125,1.0,0.2999999999999998,1.7999999999999998,-1.0
3.6875,-4.625,0.7,0.09999999999999964,-0.25,-12.25,3.4,5.7,-1.0
9.25,-10.0,-1.1,0.6999999999999993,-0.6875,-12.8125,8.3,9.899999999999999,1.0
6.6875,-4.8125,1.1,0.7999999999999998,0.125,2.4375,7.0,5.7,1.0
10.5,-4.1875,0.8,1.0999999999999996,-0.8125,1.75,10.6,5.0,-1.0
2.8125,-7.9375,-2.7,0.2999999999999998,-0.0625,-5.375,1.4000000000000004,6.699999999999999,1.0
5.9375,-5.6875,0.0,-0.10000000000000053,0.4375,-1.625,5.6,6.2,-1.0
1.8125,0.5625,1.0,0.7999999999999998,-0.5625,12.0625,2.5000000000000004,-0.19999999999999996,-1.0
1.5,-3.0625,-1.4,0.7000000000000002,-0.25,14.6875,0.8000000000000007,2.4,-1.0
10.0625,-5.375,-1.1,1.0999999999999996,-1.125,12.3125,9.4,5.0,1.0
-1.3125,4.875,1.2999999999999998,0.40000000000000036,-0.1875,20.0625,-0.5999999999999996,-4.3,1.0
9.1875,-1.25,0.19999999999999996,0.7999999999999998,-0.375,4.125,9.100000000000001,1.6,1.0
2.0,1.375,0.19999999999999996,0.40000000000000036,0.25,26.75,2.4000000000000004,-1.5,-1.0
6.875,-1.4375,0.5,0.9000000000000004,-0.3125,29.3125,6.7,2.2,-1.0
2.0,1.375,0.19999999999999996,0.40000000000000036,0.25,26.75,2.4000000000000004,-1.5,1.0
4.625,-0.8125,1.2999999999999998,0.2999999999999998,0.25,18.4375,5.0,1.9,-1.0
12.375,0.0625,-0.5000000000000001,1.2999999999999998,-0.5625,9.375,12.8,-0.8999999999999999,1.0
2.75,-1.5,0.3,0.5,-0.0625,26.9375,2.8000000000000003,1.8,-1.0
1.5,-3.0625,-1.4,0.7000000000000002,-0.25,14.6875,0.8000000000000007,2.4,1.0
2.75,-1.5,0.3,0.5,-0.0625,26.9375,2.8000000000000003,1.8,1.0
5.5,0.75,1.2999999999999998,1.2999999999999998,-0.8125,15.0625,6.0,0.09999999999999998,-1.0
10.0625,-4.25,0.6,1.2999999999999998,-0.1875,3.875,10.3,4.7,1.0
12.375,0.0625,-0.5000000000000001,1.2999999999999998,-0.5625,9.375,12.8,-0.8999999999999999,-1.0
9.0625,-3.0625,-0.9000000000000001,1.2999999999999998,-0.3125,-4.8125,8.8,2.4,-1.0
2.9375,-3.375,0.29999999999999993,0.09999999999999964,-0.4375,-9.75,2.9000000000000004,3.7,1.0
1.4375,-5.875,-1.3,0.5,-0.375,-6.375,1.1000000000000005,4.9,-1.0
10.0,-8.1875,-1.0,0.8999999999999995,-1.25,-8.75,9.7,7.5,1.0
6.8125,-4.25,0.6,0.7000000000000002,-0.4375,8.25,7.0,4.7,-1.0
1.9375,-1.4375,0.29999999999999993,0.20000000000000018,0.125,5.6875,2.7,1.0,1.0
7.125,-2.0,-0.9000000000000001,0.7999999999999998,-0.4375,-16.125,6.8,1.4,-1.0
4.5625,-3.625,1.4,0.09999999999999964,0.125,-2.625,5.3,4.4,-1.0
7.3125,-2.9375,1.2,1.2000000000000002,-0.8125,-8.9375,8.1,3.3,1.0
-1.375,2.0625,1.4,0.20000000000000018,-0.3125,-1.0,-0.2999999999999998,-1.7999999999999998,1.0
5.4375,-2.5625,-0.40000000000000013,0.5,-0.6875,-22.75,5.1,2.5,-1.0
4.8125,3.125,0.39999999999999997,0.8999999999999995,0.125,-9.75,5.4,-3.4000000000000004,1.0
6.8125,-4.25,0.6,0.7000000000000002,-0.4375,8.25,7.0,4.7,1.0
7.3125,-2.9375,1.2,1.2000000000000002,-0.8125,-8.9375,8.1,3.3,-1.0
9.0625,-3.0625,-0.9000000000000001,1.2999999999999998,-0.3125,-4.8125,8.8,2.4,1.0
10.0,-8.1875,-1.0,0.8999999999999995,-1.25,-8.75,9.7,7.5,-1.0
1.25,1.5625,1.7,-0.20000000000000018,0.1875,12.25,1.9999999999999996,-0.5999999999999999,-1.0
-1.5,3.0625,1.4,-0.7000000000000002,0.25,-14.6875,-0.8000000000000007,-2.4,1.0
-1.4375,5.875,1.3,-0.5,0.375,6.375,-1.1000000000000005,-4.9,1.0
0.3125,3.625,2.4,0.09999999999999964,-0.3125,-2.625,1.6999999999999997,-2.5999999999999996,-1.0
4.0,3.8125,2.7,0.5999999999999996,-0.5625,0.375,5.199999999999999,-2.3,1.0
10.875,3.125,0.8999999999999999,0.5999999999999996,-0.3125,-5.3125,12.0,-3.3,-1.0
0.5,4.4375,1.6,-0.2999999999999998,0.5,12.0625,1.5999999999999996,-3.9,-1.0
1.25,1.5625,1.7,-0.20000000000000018,0.1875,12.25,1.9999999999999996,-0.5999999999999999,1.0
0.5,4.4375,1.6,-0.2999999999999998,0.5,12.0625,1.5999999999999996,-3.9,1.0
8.5625,-2.3125,0.30000000000000004,0.39999999999999947,-0.875,-2.375,8.6,2.6,-1.0
5.8125,2.3125,2.3,0.0,0.25,6.8125,6.8,-0.9999999999999999,1.0
-1.5,3.0625,1.4,-0.7000000000000002,0.25,-14.6875,-0.8000000000000007,-2.4,-1.0
10.875,3.125,0.8999999999999999,0.5999999999999996,-0.3125,-5.3125,12.0,-3.3,1.0
7.6875,1.8125,1.6,0.09999999999999964,-0.125,-10.5625,8.3,-0.7999999999999999,1.0
-2.8125,7.9375,2.7,-0.2999999999999998,0.0625,5.375,-1.4000000000000004,-6.699999999999999,-1.0
3.9375,0.6875,2.2,0.0,-0.1875,-2.375,5.0,0.5,-1.0
-1.8125,-0.5625,-1.0,-0.7999999999999998,0.5625,-12.0625,-2.5000000000000004,0.19999999999999996,1.0
3.6875,0.1875,0.29999999999999993,0.5,-0.25,3.0,3.5,0.29999999999999993,-1.0
0.5625,-0.3125,0.9999999999999999,-0.2999999999999998,0.125,-4.25,0.2999999999999998,1.6,-1.0
-0.3125,-3.625,-2.4,-0.09999999999999964,0.3125,2.625,-1.6999999999999997,2.5999999999999996,1.0
5.375,0.25,-2.0,0.20000000000000018,0.25,-7.125,4.0,-0.9000000000000001,1.0
8.25,-4.8125,-0.4,0.5,0.375,-8.1875,7.800000000000001,4.9,-1.0
3.625,-2.9375,-0.2,-0.09999999999999964,0.125,0.25,3.3,3.0999999999999996,1.0
8.25,-4.8125,-0.4,0.5,0.375,-8.1875,7.800000000000001,4.9,1.0
0.9375,-2.0625,-0.7,-0.2999999999999998,0.5,14.875,0.2999999999999998,2.0,-1.0
7.375,-1.8125,-0.8,0.0,0.1875,-7.9375,6.6,1.7999999999999998,1.0
3.625,-2.9375,-0.2,-0.09999999999999964,0.125,0.25,3.3,3.0999999999999996,-1.0
7.375,-1.8125,-0.8,0.0,0.1875,-7.9375,6.6,1.7999999999999998,-1.0
3.6875,0.1875,0.29999999999999993,0.5,-0.25,3.0,3.5,0.29999999999999993,1.0
3.6875,-0.3125,-1.5,-0.09999999999999964,0.0,-13.75,2.3,0.19999999999999996,-1.0
7.0625,-3.125,-0.2,0.6000000000000005,-0.125,10.1875,6.199999999999999,3.8,1.0
0.1875,0.8125,-0.8,-0.39999999999999947,0.8125,14.6875,-0.10000000000000009,-1.3,-1.0
5.9375,-6.5,0.0,0.6999999999999993,-1.125,-19.5,5.3,7.1,1.0
0.75,-2.875,0.10000000000000003,0.09999999999999964,-0.3125,0.1875,0.3999999999999999,3.3,-1.0
7.125,-1.625,-1.2000000000000002,1.0999999999999996,-0.4375,-10.5,6.1,1.4,1.0
8.0625,-5.625,0.4,0.8999999999999995,-0.4375,-22.875,7.9,6.2,-1.0
-1.9375,1.4375,-0.29999999999999993,-0.20000000000000018,-0.125,-5.6875,-2.7,-1.0,-1.0
-2.0,-1.375,-0.19999999999999996,-0.40000000000000036,-0.25,-26.75,-2.4000000000000004,1.5,1.0
-0.5,-4.4375,-1.6,0.2999999999999998,-0.5,-12.0625,-1.5999999999999996,3.9,1.0
-2.0,-1.375,-0.19999999999999996,-0.40000000000000036,-0.25,-26.75,-2.4000000000000004,1.5,-1.0
-0.5,-4.4375,-1.6,0.2999999999999998,-0.5,-12.0625,-1.5999999999999996,3.9,-1.0
0.75,-2.875,0.10000000000000003,0.09999999999999964,-0.3125,0.1875,0.3999999999999999,3.3,1.0
7.1875,-2.625,0.0,0.39999999999999947,-0.625,-22.625,6.7,3.1,-1.0
10.375,-1.3125,-0.7000000000000001,0.8999999999999995,-0.8125,-17.375,10.4,0.6000000000000001,1.0
3.4375,-3.75,0.6000000000000001,0.2999999999999998,-0.6875,-14.4375,3.4,4.4,1.0
